provincia,mes,cantidadServicios,poblacionUsuaria,valorAutorizado
Azua,Abril,37723.0,10845.0,13963949.460000005
Azua,Enero,31396.0,9954.0,11744000.160000006
Azua,Febrero,31973.0,9964.0,13982277.665
Azua,Marzo,33844.0,10096.0,13743384.419999996
Bahoruco,Abril,15495.0,5391.0,8293390.129999999
Bahoruco,Enero,15080.0,4740.0,6836194.789999998
Bahoruco,Febrero,13889.0,4696.0,5340195.01
Bahoruco,Marzo,15032.0,4673.0,7060358.639999997
Barahona,Abril,35645.0,11329.0,13159976.590000002
Barahona,Enero,34576.0,10333.0,13363475.85
Barahona,Febrero,36736.0,11600.0,14337046.7
Barahona,Marzo,36729.0,11493.0,16354238.64000001
Dajabón,Abril,6372.0,2091.0,3405359.7199999997
Dajabón,Enero,6371.0,1900.0,3212256.86
Dajabón,Febrero,6728.0,2046.0,2814403.960000001
Dajabón,Marzo,6871.0,2031.0,2518457.7
Distrito Nacional,Abril,197670.0,56929.0,80299964.99999996
Distrito Nacional,Enero,191774.0,51702.0,76063846.44499996
Distrito Nacional,Febrero,183098.0,51264.0,69236095.78999998
Distrito Nacional,Marzo,199929.0,54627.0,83611664.84999995
Duarte,Abril,73416.0,23336.0,28862274.669999994
Duarte,Enero,73790.0,22349.0,26069455.83999999
Duarte,Febrero,68543.0,21310.0,26862017.59500001
Duarte,Marzo,75130.0,23572.0,29906681.219999995
El Seybo,Abril,11965.0,4397.0,4589597.43
El Seybo,Enero,11317.0,4218.0,4197428.65
El Seybo,Febrero,10016.0,4093.0,3743529.34
El Seybo,Marzo,11555.0,4337.0,5168140.520000001
Espaillat,Abril,21914.0,7251.0,11450874.820000004
Espaillat,Enero,20543.0,5902.0,10411444.430000002
Espaillat,Febrero,21110.0,6252.0,11113421.510000002
Espaillat,Marzo,21803.0,7039.0,13195261.780000001
Hato Mayor,Abril,10843.0,3714.0,4430975.17
Hato Mayor,Enero,10221.0,3332.0,4023305.4499999993
Hato Mayor,Febrero,9878.0,3359.0,4190250.0599999996
Hato Mayor,Marzo,10714.0,3575.0,5491381.410000004
Hermanas Mirabal,Abril,16027.0,5131.0,7029922.5200000005
Hermanas Mirabal,Enero,13984.0,4055.0,6154330.400000001
Hermanas Mirabal,Febrero,13699.0,4486.0,5084215.239999999
Hermanas Mirabal,Marzo,16292.0,5109.0,5863161.250000001
Independencia,Abril,4725.0,1216.0,2063037.0999999996
Independencia,Enero,3936.0,1253.0,1590160.2099999997
Independencia,Febrero,5422.0,1363.0,1818317.6099999999
Independencia,Marzo,5427.0,1343.0,2092838.4200000004
La Altagracia,Abril,20790.0,6135.0,8045871.83
La Altagracia,Enero,16521.0,4898.0,7578985.3
La Altagracia,Febrero,17294.0,5045.0,8082993.09
La Altagracia,Marzo,18253.0,5318.0,9750563.55
La Estrelleta,Abril,7091.0,2170.0,3669931.5500000003
La Estrelleta,Enero,6471.0,1899.0,2374598.9199999995
La Estrelleta,Febrero,5495.0,1878.0,1982825.2600000005
La Estrelleta,Marzo,7055.0,2205.0,3384571.17
La Romana,Abril,18856.0,6815.0,8939622.17
La Romana,Enero,18848.0,5907.0,10500273.439999998
