sistema,region,provincia,municipio,gruposDeServicios,subgrupoDeServicios,cantidadServicios,poblacionUsuaria,valorAutorizado,mes,year
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atencion Ambulatoria,Consulta medica nivel 2,4688,3596,1247074,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atencion Ambulatoria,Consulta medica nivel 3,1190,1081,355258,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Servicios Odontologicos,Tratamiento de la Osteomielitis,1,1,164.15,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Emergencia,Emergencia,2066,1745,609990,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Hospitalizacion,Hospitalizacion general y especialidades basicas,2387,159,1870881.74,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Partos,Atencion de partos por Cesarea,4,2,475,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Cirugia,Cirugia General,257,62,1004595.38,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Cirugia,Cirugias Dermatologicas,26,12,34029,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Cirugia,Cirugias Ginecologicas,127,29,363129,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Cirugia,Cirugias Menores,3,3,1468.41,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Cirugia,Cirugias Oftalmologicas,708,158,2367262.61,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Cirugia,Cirugias Ortopedicas,241,28,1310638.21,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Cirugia,Cirugias Otorrinolaringologicas,37,16,158631.1,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Cirugia,Cirugias Urologicas,8,7,28073.7,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Cirugia,Hematologia,2,1,4220,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Cirugia,Neumologia,12,5,107971,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Cirugia,Neurocirugias,62,11,1087614.27,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Cirugia,Reumatologia,6,1,3000,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,903,718,409572.7,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,1572,1315,912180,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,32344,3435,3429450.70999999,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,884,701,992315,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,971,855,518308,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),180,131,667808.32,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),369,180,696641.68,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Angiosplastia,40,13,2316354,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,370,25,741358.69,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,177,18,1713638.7,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Columna: Espondiolistesis Total,10,1,87466,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Dialisis Peritoneal,963,4,146524.2,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,1005,59,779907.7,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Cadera,9,9,509601.46,Enero,2018
