,Municipio,Mes,Cantidad servicios,Poblacion Usuaria,Valor autorizado (RD$),Gasto per capita
37,altamira,Enero 2019,4090,1144,836336.75,731.0635926573427
96,arenoso,Enero 2019,2138,733,376218.07,513.2579399727149
153,azua de compostela,Enero 2019,2759,1311,975069.2,743.759877955759
209,bajos de haina,Enero 2019,13703,4526,3744357.0600000005,827.2993946089263
265,banica,Enero 2019,72,20,12522.5,626.125
293,bayaguana,Enero 2019,8228,2781,2136187.585,768.136492268968
349,boca chica,Enero 2019,18572,5739,4617248.690000001,804.5388900505318
405,bohechio,Enero 2019,443,119,109165.5,917.3571428571428
433,bonao,Enero 2019,998,491,540301.8,1100.4109979633404
489,cabral,Enero 2019,483,195,273417.8,1402.1425641025642
517,cabrera,Enero 2019,1739,411,401069.95,975.839294403893
545,cambita garabito,Enero 2019,7596,2167,1508795.12,696.2598615597601
658,castillo,Enero 2019,2464,906,608453.29,671.5819977924947
686,cayetano germosén,Enero 2019,835,206,128625.6,624.3961165048544
742,cevicos,Enero 2019,241,80,77345.0,966.8125
798,comendador,Enero 2019,546,150,120246.3,801.6419999999999
826,concepción de la vega,Enero 2019,2962,1059,1548605.37,1462.3280169971674
854,constanza,Enero 2019,744,274,289072.2,1055.0080291970803
882,consuelo,Enero 2019,482,211,174413.0,826.6018957345973
938,cristobal,Enero 2019,93,41,37241.0,908.3170731707318
1023,distrito nacional,Enero 2019,186902,52383,49287481.30999996,940.9060441364556
1163,el cercado,Enero 2019,498,161,122562.5,761.2577639751552
1191,el factor,Enero 2019,2425,901,591992.98,657.0399334073253
1245,el llano,Enero 2019,135,54,56464.0,1045.6296296296296
1357,el pino,Enero 2019,301,47,60470.0,1286.5957446808509
1497,el valle,Enero 2019,44,33,24013.0,727.6666666666665
1525,enriquillo,Enero 2019,235,93,110418.0,1187.2903225806454
1553,esperalvillo,Enero 2019,2066,649,599154.41,923.1963174114024
1581,esperanza,Enero 2019,530,172,170234.0,989.7325581395347
1609,estebania,Enero 2019,216,68,59099.0,869.1029411764706
1665,fantino,Enero 2019,282,119,188694.0,1585.6638655462186
