municipio,gruposDeServicios,subgrupoDeServicios,cantidadServicios,poblacionUsuaria,valorAutorizado
AGUA SANTA DEL YUNA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,82,51,27014.0
AGUA SANTA DEL YUNA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,229,189,65875.2
AGUA SANTA DEL YUNA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,2704,399,236651.8
AGUA SANTA DEL YUNA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,86,84,54979.0
AGUA SANTA DEL YUNA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,210,178,64257.0
AGUA SANTA DEL YUNA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),7,6,24570.0
AGUA SANTA DEL YUNA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),32,20,53179.0
AGUA SANTA DEL YUNA(DM),Atencion Ambulatoria,Consulta medica nivel 2,534,417,115484.0
AGUA SANTA DEL YUNA(DM),Atencion Ambulatoria,Consulta medica nivel 3,181,140,37688.0
AGUA SANTA DEL YUNA(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,10,1,8000.0
AGUA SANTA DEL YUNA(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,1,1,25000.0
AGUA SANTA DEL YUNA(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,123,4,86935.0
AGUA SANTA DEL YUNA(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,32,5,151461.35
AGUA SANTA DEL YUNA(DM),Cirugia,Cirugia General,12,7,11608.85
AGUA SANTA DEL YUNA(DM),Cirugia,Cirugias Dermatologicas,8,2,4951.950000000001
AGUA SANTA DEL YUNA(DM),Cirugia,Cirugias Ginecologicas,14,4,20547.78
AGUA SANTA DEL YUNA(DM),Cirugia,Cirugias Menores,9,8,4533.29
AGUA SANTA DEL YUNA(DM),Cirugia,Cirugias Oftalmologicas,49,14,177105.37
AGUA SANTA DEL YUNA(DM),Cirugia,Cirugias Ortopedicas,1,1,1511.0
AGUA SANTA DEL YUNA(DM),Cirugia,Cirugias Otorrinolaringologicas,1,1,800.0
AGUA SANTA DEL YUNA(DM),Cirugia,Neumologia,1,1,654.41
AGUA SANTA DEL YUNA(DM),Desconocido,Desconocido,16,3,9880.0
AGUA SANTA DEL YUNA(DM),Emergencia,Emergencia,378,216,91574.0
AGUA SANTA DEL YUNA(DM),Hemoterapia,Sangre Total,20,20,3080.0
AGUA SANTA DEL YUNA(DM),Hospitalizacion,Hospitalizacion general y especialidades basicas,745,57,247629.2
AGUA SANTA DEL YUNA(DM),Partos,Atencion de partos normal,12,4,61428.14
AGUA SANTA DEL YUNA(DM),Partos,Atencion de partos por Cesarea,14,4,17459.77
AGUA SANTA DEL YUNA(DM),Rehabilitacion,Aparatos y Protesis,3,3,450.0
AGUA SANTA DEL YUNA(DM),Rehabilitacion,Terapias Rehabilitacion,59,14,25160.0
ALTAMIRA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,81,45,20916.0
ALTAMIRA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,230,204,80521.0
ALTAMIRA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,7217,1179,557372.6
ALTAMIRA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,140,131,163402.0
ALTAMIRA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,366,315,111610.75
ALTAMIRA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),38,28,140400.0
ALTAMIRA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),232,110,361973.0
ALTAMIRA,Atencion Ambulatoria,Consulta medica nivel 2,2102,1655,425700.0
ALTAMIRA,Atencion Ambulatoria,Consulta medica nivel 3,9,8,3000.0
ALTAMIRA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,3,1,2400.0
ALTAMIRA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,2,2,138850.0
ALTAMIRA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,260,27,245461.40000000002
ALTAMIRA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Cadera,1,1,57500.1
ALTAMIRA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento a Politraumatismo (Trauma Mayor),2,1,4243.0
ALTAMIRA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,338,54,1354883.77
ALTAMIRA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Pediatricos,21,3,18900.0
ALTAMIRA,Cirugia,Cirugia General,36,19,121944.09
ALTAMIRA,Cirugia,Cirugias Dermatologicas,10,10,12568.0
ALTAMIRA,Cirugia,Cirugias Ginecologicas,5,4,8704.31
ALTAMIRA,Cirugia,Cirugias Menores,27,16,6584.16
ALTAMIRA,Cirugia,Cirugias Oftalmologicas,32,10,118850.0
ALTAMIRA,Cirugia,Cirugias Ortopedicas,36,9,121301.72
ALTAMIRA,Cirugia,Cirugias Otorrinolaringologicas,1,1,702.0
ALTAMIRA,Cirugia,Cirugias Urologicas,1,1,623.7
ALTAMIRA,Desconocido,Desconocido,68,18,40515.0
ALTAMIRA,Emergencia,Emergencia,1815,1148,436961.0
ALTAMIRA,Hemoterapia,Sangre Total,43,42,6370.0
ALTAMIRA,Hospitalizacion,Hospitalizacion general y especialidades basicas,1641,96,521672.99
ALTAMIRA,Partos,Atencion de partos normal,7,2,6610.0
ALTAMIRA,Partos,Atencion de partos por Cesarea,47,11,67238.77
ALTAMIRA,Rehabilitacion,Aparatos y Protesis,1,1,4035.71
ALTAMIRA,Rehabilitacion,Terapias Rehabilitacion,56,11,20500.0
AMINA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,3,2,6120.0
AMINA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,40,35,11057.0
AMINA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,1070,196,83349.2
AMINA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,38,36,36379.0
AMINA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,46,43,8293.0
AMINA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),11,10,39500.0
AMINA(DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),42,20,69896.0
AMINA(DM),Atencion Ambulatoria,Consulta medica nivel 2,319,247,65166.0
AMINA(DM),Atencion Ambulatoria,Consulta medica nivel 3,3,3,900.0
AMINA(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,26,3,93600.0
AMINA(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,4,1,42500.0
AMINA(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,196,20,939507.94
AMINA(DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Pediatricos,2,1,957.0
AMINA(DM),Cirugia,Cirugia General,5,3,7731.0
AMINA(DM),Cirugia,Cirugias Cardiovasculares,13,1,172233.3
AMINA(DM),Cirugia,Cirugias Dermatologicas,1,1,1153.0
AMINA(DM),Cirugia,Cirugias Ginecologicas,2,1,1711.0
AMINA(DM),Cirugia,Cirugias Menores,1,1,50.0
AMINA(DM),Cirugia,Cirugias Oftalmologicas,8,2,44000.0
AMINA(DM),Cirugia,Cirugias Ortopedicas,12,1,104105.9
AMINA(DM),Cirugia,Cirugias Urologicas,1,1,1770.0
AMINA(DM),Desconocido,Desconocido,17,4,10880.0
AMINA(DM),Emergencia,Emergencia,276,178,66748.0
AMINA(DM),Hemoterapia,Sangre Total,10,10,700.0
AMINA(DM),Hospitalizacion,Hospitalizacion general y especialidades basicas,704,38,575691.51
AMINA(DM),Partos,Atencion de partos normal,32,6,23710.239999999998
AMINA(DM),Partos,Atencion de partos por Cesarea,18,4,15734.56
AMINA(DM),Rehabilitacion,Terapias Rehabilitacion,70,11,25370.0
AMINA(DM),Servicios Odontologicos,Tratamiento de la Osteomielitis,1,1,322.0
ARENOSO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,111,67,46443.0
ARENOSO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,352,306,103537.75
ARENOSO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,4545,789,410701.0
ARENOSO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,141,132,68826.0
ARENOSO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,284,248,68436.0
ARENOSO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),15,10,57960.0
ARENOSO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),34,27,39672.0
ARENOSO,Atencion Ambulatoria,Consulta medica nivel 2,872,664,182426.0
ARENOSO,Atencion Ambulatoria,Consulta medica nivel 3,243,180,50410.0
ARENOSO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Angiosplastia,2,2,652500.0
ARENOSO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion de Prematuros,4,1,3859.0
ARENOSO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,21,5,16800.0
ARENOSO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,25,1,10122.66
ARENOSO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Cadera,4,2,127340.1
ARENOSO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento a Politraumatismo (Trauma Mayor),1,1,1153.0
ARENOSO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,341,27,1523795.5100000002
ARENOSO,Cirugia,Cirugia General,18,14,26170.05
ARENOSO,Cirugia,Cirugias Dermatologicas,14,5,3450.0
ARENOSO,Cirugia,Cirugias Ginecologicas,9,7,17394.47
ARENOSO,Cirugia,Cirugias Menores,12,10,8106.700000000001
ARENOSO,Cirugia,Cirugias Oftalmologicas,37,11,73666.32
ARENOSO,Cirugia,Cirugias Ortopedicas,1,1,1511.0
ARENOSO,Cirugia,Neumologia,1,1,15000.0
ARENOSO,Cirugia,Neurocirugias,23,1,298239.46
ARENOSO,Desconocido,Desconocido,19,2,12160.0
ARENOSO,Emergencia,Emergencia,667,460,176554.0
ARENOSO,Hemoterapia,Derivados de la Sangre,1,1,70.0
ARENOSO,Hemoterapia,Sangre Total,37,35,7720.0
ARENOSO,Hospitalizacion,Hospitalizacion general y especialidades basicas,1394,107,370828.65
ARENOSO,Partos,Atencion de partos normal,14,5,20012.0
ARENOSO,Partos,Atencion de partos por Cesarea,31,7,46472.780000000006
ARENOSO,Rehabilitacion,Aparatos y Protesis,4,4,60450.0
ARENOSO,Rehabilitacion,Terapias Rehabilitacion,172,27,61809.0
ARENOSO,Servicios Odontologicos,Aplicacion de Cariostaticos,1,1,12.0
ARENOSO,Servicios Odontologicos,Extraccion de cuerpo extraNo,1,1,576.0
ARROYO SALADO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,32,23,13079.0
ARROYO SALADO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,52,39,21187.0
ARROYO SALADO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,1112,176,106114.0
ARROYO SALADO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,30,28,17433.0
ARROYO SALADO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,69,62,17314.0
ARROYO SALADO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),5,5,19500.0
ARROYO SALADO (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),12,8,17351.0
ARROYO SALADO (DM),Atencion Ambulatoria,Consulta medica nivel 2,228,179,49740.0
ARROYO SALADO (DM),Atencion Ambulatoria,Consulta medica nivel 3,57,45,12022.0
ARROYO SALADO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,5,2,11965.0
ARROYO SALADO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,11,1,277792.0
ARROYO SALADO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,2,2,24000.0
ARROYO SALADO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,4,4,31081.0
ARROYO SALADO (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Valvuloplastia Mitral,11,2,444169.7
ARROYO SALADO (DM),Cirugia,Cirugia General,5,3,6396.85
ARROYO SALADO (DM),Cirugia,Cirugias Ginecologicas,7,4,22321.77
ARROYO SALADO (DM),Cirugia,Cirugias Oftalmologicas,33,7,89345.65
ARROYO SALADO (DM),Cirugia,Cirugias Urologicas,1,1,930.0
ARROYO SALADO (DM),Cirugia,Cirugias Vasculares,1,1,2510.0
ARROYO SALADO (DM),Desconocido,Desconocido,10,3,6400.0
ARROYO SALADO (DM),Emergencia,Emergencia,167,110,40736.75
ARROYO SALADO (DM),Hemoterapia,Derivados de la Sangre,2,2,140.0
ARROYO SALADO (DM),Hemoterapia,Sangre Total,13,13,910.0
ARROYO SALADO (DM),Hospitalizacion,Hospitalizacion general y especialidades basicas,309,32,110044.75
ARROYO SALADO (DM),Partos,Atencion de partos normal,16,5,14293.0
ARROYO SALADO (DM),Partos,Atencion de partos por Cesarea,8,3,12065.11
ARROYO SALADO (DM),Rehabilitacion,Terapias Rehabilitacion,53,11,22340.0
AZUA DE COMPOSTELA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,850,714,465641.0
AZUA DE COMPOSTELA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,1417,1247,643503.05
AZUA DE COMPOSTELA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,17907,2746,1780818.9599999997
AZUA DE COMPOSTELA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,606,519,918823.75
AZUA DE COMPOSTELA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,1823,1601,543374.5
AZUA DE COMPOSTELA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),154,125,513250.32
AZUA DE COMPOSTELA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),326,209,581571.0700000001
AZUA DE COMPOSTELA,Atencion Ambulatoria,Consulta medica nivel 2,9363,7572,2252076.0
AZUA DE COMPOSTELA,Atencion Ambulatoria,Consulta medica nivel 3,299,266,91286.0
AZUA DE COMPOSTELA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Angiosplastia,56,4,754087.5
AZUA DE COMPOSTELA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion de Prematuros,95,5,81536.84
AZUA DE COMPOSTELA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,156,16,324475.51
AZUA DE COMPOSTELA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,24,7,679874.0
AZUA DE COMPOSTELA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,746,40,155611.36
