,region,time,Cantidad servicios,poblacion,valor,gastoPerCapita
0,REGION 0,2017-04-01,647288,199194,263604507.31499997,1323.3556598843336
1,REGION 0,2018-04-01,784734,240209,302152290.92499983,1257.8724815681335
2,REGION 0,2019-04-01,766110,215150,288484643.04,1340.8535581687192
3,REGION 0,2017-08-01,786419,240010,312677842.012,1302.7700596308487
4,REGION 0,2018-08-01,773500,216866,323658312.7550002,1492.4345575378352
5,REGION 0,2018-12-01,4166,3449,1100326.0,319.02754421571467
6,REGION 0,2017-12-01,540645,172491,230527239.08,1336.4595200909034
7,REGION 0,2018-12-01,523575,148719,252766690.38000008,1699.626075888085
8,REGION 0,2017-01-01,653813,193831,250347702.7999999,1291.5772131392805
9,REGION 0,2018-01-01,763615,219530,298452802.01999986,1359.5080491049055
10,REGION 0,2019-01-01,723420,212930,189188549.07499996,888.5011462687265
11,REGION 0,2017-02-01,674642,206161,249559077.07999983,1210.5057555987787
12,REGION 0,2018-02-01,734211,218860,289487358.55499995,1322.7056499817231
13,REGION 0,2019-02-01,770822,218454,286701566.0400002,1312.4116108654464
14,REGION 0,2017-07-01,763166,230512,296774834.95000046,1287.4593728309178
15,REGION 0,2018-07-01,757095,214847,318323287.63000005,1481.6277985263935
16,REGION 0,2017-06-01,741752,227048,284404906.075,1252.6201775615727
17,REGION 0,2018-06-01,784463,230788,309533471.1800002,1341.202623966585
18,REGION 0,2017-03-01,827043,243377,324823466.6049997,1334.6514527050613
19,REGION 0,2018-03-01,778292,231202,304252189.41,1315.9582936566292
20,REGION 0,2019-03-01,858289,240212,313465690.26499975,1304.9543331099185
21,REGION 0,2017-05-01,779277,237297,312744188.3650001,1317.944130625335
22,REGION 0,2018-05-01,811341,236240,330913585.14999974,1400.7517149932264
23,REGION 0,2017-11-01,705262,214135,288085908.8849997,1345.3471356153814
24,REGION 0,2018-11-01,750041,212972,316250178.11499995,1484.937823352365
25,REGION 0,2017-10-01,757903,225294,310023977.21000016,1376.0862571129285
26,REGION 0,2018-10-01,842440,235769,345097016.6149997,1463.7081915561405
27,REGION 0,2017-09-01,651590,204403,270780210.83000034,1324.7369697607194
28,REGION 0,2018-09-01,576837,171881,258722354.5399998,1505.241152541583
29,REGION I,2017-04-01,136274,49585,57370072.76000003,1157.0045933245947
30,REGION I,2018-04-01,166465,59587,62774794.91000005,1053.4981608404526
31,REGION I,2019-04-01,162194,51571,63668421.72000004,1234.5779938337446
32,REGION I,2017-08-01,166742,60655,68498867.06499997,1129.3193811722028
33,REGION I,2018-08-01,166942,52794,74198158.26300004,1405.4278566314365
34,REGION I,2017-12-01,114176,40822,48716131.23499999,1193.3793355298612
35,REGION I,2018-12-01,113391,37199,57311496.35999999,1540.6730385225405
36,REGION I,2017-01-01,138066,48442,54700254.67500001,1129.1906749308455
37,REGION I,2018-01-01,158790,51722,62226264.92500003,1203.0908496384525
38,REGION I,2019-01-01,145525,49423,38414570.19000002,777.2609956902661
39,REGION I,2017-02-01,146966,52320,55427099.81999998,1059.3864644495407
40,REGION I,2018-02-01,155480,53106,62487673.98499997,1176.659397902308
41,REGION I,2019-02-01,165737,52124,63947603.79999996,1226.8360793492434
42,REGION I,2017-07-01,165101,58828,63135164.02499998,1073.2162239919762
43,REGION I,2018-07-01,164488,53441,67909679.31300001,1270.7411783649256
44,REGION I,2017-06-01,162059,58167,61288247.105,1053.6601011742057
45,REGION I,2018-06-01,167131,57480,68009334.58499996,1183.1825780271392
46,REGION I,2017-03-01,173371,61150,74421909.59500001,1217.0385869991824
47,REGION I,2018-03-01,165709,57485,66845511.34499999,1162.8339800817605
48,REGION I,2019-03-01,178321,57367,65825554.59899996,1147.4463471856634
49,REGION I,2017-05-01,170058,60327,71154483.41999999,1179.4798915908298
50,REGION I,2018-05-01,171482,58653,71216615.05000003,1214.202428690775
51,REGION I,2017-11-01,141952,50911,57496403.28999995,1129.3512853803688
52,REGION I,2018-11-01,155145,50402,66853212.70999997,1326.399998214356
53,REGION I,2017-10-01,150968,52969,68370053.52999997,1290.7559804791474
54,REGION I,2018-10-01,174227,55524,77582772.28499992,1397.283558191051
55,REGION I,2017-09-01,135701,49483,56677643.96500001,1145.3962768021345
56,REGION I,2018-09-01,118728,39022,52407051.89499997,1343.012964353441
57,REGION II,2017-04-01,131668,45111,56915089.67999998,1261.6676571124553
58,REGION II,2018-04-01,162292,53354,75541194.62999995,1415.8487579188056
59,REGION II,2019-04-01,169985,48314,80650677.53499997,1669.3024285921258
60,REGION II,2017-08-01,162644,50966,73534912.22000004,1442.822905858809
61,REGION II,2018-08-01,161386,45878,83723602.48999996,1824.918315750468
62,REGION II,2017-12-01,105999,36804,55702662.54999998,1513.494798119769
