,Region,time,subgrupo,cantidadServiciosTotal,poblacionTotal,valorTotal,gastoPerCapitaTotal,valorPct,gastoPerCapitaPct
0,No Especificada,2018-10-01,Consulta medica nivel 2,16,5,1518.0,1118.0,39.52569169960474,17.88908765652952
1,No Especificada,2018-10-01,Ecografias,16,5,1518.0,1118.0,11.528326745718047,15.65295169946333
2,No Especificada,2018-10-01,Laboratorios,16,5,1518.0,1118.0,48.94598155467721,66.45796064400716
3,REGION 0,2017-04-01,Angiosplastia,647288,199194,263604507.31499997,12416562.245529853,2.586031907965064,16.94267437925103
4,REGION 0,2017-04-01,Aparatos y Protesis,647288,199194,263604507.31499997,12416562.245529853,0.3478823368161041,0.1795530076874002
5,REGION 0,2017-04-01,Aplicacion de Cariostaticos,647288,199194,263604507.31499997,12416562.245529853,0.0001449102687548255,0.003076455402440576
6,REGION 0,2017-04-01,Atencion de Prematuros,647288,199194,263604507.31499997,12416562.245529853,0.7751578646408549,3.2795302762236624
7,REGION 0,2017-04-01,Atencion de partos normal,647288,199194,263604507.31499997,12416562.245529853,1.5878854093333703,1.1258598188364948
8,REGION 0,2017-04-01,Atencion de partos por Cesarea,647288,199194,263604507.31499997,12416562.245529853,4.189065982777166,2.5426343205093414
9,REGION 0,2017-04-01,Atencion en Unidad de Cuidados Intensivos,647288,199194,263604507.31499997,12416562.245529853,1.4956735224897462,2.2627500951422035
10,REGION 0,2017-04-01,Biopsias,647288,199194,263604507.31499997,12416562.245529853,0.9598049273780492,0.11478496611456318
11,REGION 0,2017-04-01,Cirugia General,647288,199194,263604507.31499997,12416562.245529853,3.004565498774124,1.39352287721257
12,REGION 0,2017-04-01,Cirugia de Corazon Abierto para By Pass,647288,199194,263604507.31499997,12416562.245529853,2.7420443465189166,7.330527669548505
13,REGION 0,2017-04-01,Cirugias Cardiovasculares,647288,199194,263604507.31499997,12416562.245529853,0.26198072522893584,3.3022264286365925
14,REGION 0,2017-04-01,Cirugias Dermatologicas,647288,199194,263604507.31499997,12416562.245529853,0.3518844041963079,0.5078384883554045
15,REGION 0,2017-04-01,Cirugias Endocrinologicas,647288,199194,263604507.31499997,12416562.245529853,0.0047958208790766866,0.08248659973244424
16,REGION 0,2017-04-01,Cirugias Gastricas,647288,199194,263604507.31499997,12416562.245529853,0.09818090845113288,0.4416570504696342
17,REGION 0,2017-04-01,Cirugias Ginecologicas,647288,199194,263604507.31499997,12416562.245529853,1.880381773623012,1.1214752006806674
18,REGION 0,2017-04-01,Cirugias Menores,647288,199194,263604507.31499997,12416562.245529853,0.1238100111884652,0.1399240559893871
19,REGION 0,2017-04-01,Cirugias Oftalmologicas,647288,199194,263604507.31499997,12416562.245529853,3.761700481149453,3.8614911635968463
20,REGION 0,2017-04-01,Cirugias Ortopedicas,647288,199194,263604507.31499997,12416562.245529853,2.960727185394334,3.4750854975317567
21,REGION 0,2017-04-01,Cirugias Otorrinolaringologicas,647288,199194,263604507.31499997,12416562.245529853,0.2910412108709585,0.5356093898036743
22,REGION 0,2017-04-01,Cirugias Pediatricas,647288,199194,263604507.31499997,12416562.245529853,0.14999992755340116,0.2955956405407313
23,REGION 0,2017-04-01,Cirugias Urologicas,647288,199194,263604507.31499997,12416562.245529853,0.1929902470871186,0.96090017490001
24,REGION 0,2017-04-01,Cirugias Vasculares,647288,199194,263604507.31499997,12416562.245529853,0.16623562490013036,1.4352370747874434
25,REGION 0,2017-04-01,Columna: Cirugia Escoliosis,647288,199194,263604507.31499997,12416562.245529853,0.054104613556387536,1.1486448276079486
26,REGION 0,2017-04-01,Columna: Espondiolistesis Total,647288,199194,263604507.31499997,12416562.245529853,0.8204448975584469,7.063485388765705
27,REGION 0,2017-04-01,Consulta medica nivel 2,647288,199194,263604507.31499997,12416562.245529853,6.8433640167022665,0.09154364010433808
28,REGION 0,2017-04-01,Consulta medica nivel 3,647288,199194,263604507.31499997,12416562.245529853,0.6799276758413801,0.041378690490962385
29,REGION 0,2017-04-01,Derivados de la Sangre,647288,199194,263604507.31499997,12416562.245529853,0.007655028438450282,0.05334553131801385
30,REGION 0,2017-04-01,Desconocido,647288,199194,263604507.31499997,12416562.245529853,0.007603815353600152,0.052972257564297
31,REGION 0,2017-04-01,"Detec., control de placa Bacteriana y enseNanza higiene bucal",647288,199194,263604507.31499997,12416562.245529853,0.0006341052423669558,0.013462099790155488
32,REGION 0,2017-04-01,Dialisis Peritoneal,647288,199194,263604507.31499997,12416562.245529853,0.0357495404611534,0.6182927164693963
33,REGION 0,2017-04-01,Ecografias,647288,199194,263604507.31499997,12416562.245529853,2.3802164514972874,0.1172277099138367
34,REGION 0,2017-04-01,Emergencia,647288,199194,263604507.31499997,12416562.245529853,4.4869821576556,0.10699311061881198
35,REGION 0,2017-04-01,Hematologia,647288,199194,263604507.31499997,12416562.245529853,0.009897023486333784,0.1262024036132983
